anchor_name,module,anchor_signature,anchor_informal,variant_signature,transformation_type,change_description
isGLB_iff_of_subset_of_subset_closure,Mathlib.Topology.Order.IsLUB," {α : Type*} [TopologicalSpace α] [Preorder α] [ClosedIciTopology α] {s t : Set α} (hst : s ⊆ t) (hts : t ⊆ closure s)
  {x : α} : IsGLB s x ↔ IsGLB t x","Let $\alpha$ be a topological space with a preorder and the closed upper interval topology. For any subsets $s, t \subseteq \alpha$ such that $s \subseteq t$ and $t \subseteq \overline{s}$ (the closure of $s$), and for any $x \in \alpha$, the following are equivalent:
1. $x$ is the greatest lower bound of $s$,
2. $x$ is the greatest lower bound of $t$."," {α : Type*} [Preorder α] [ClosedIciTopology α] {s t : Set α} (hst : s ⊆ t) (hts : t ⊆ closure s)
  {x : α} : IsGLB s x ↔ IsGLB t x",generalization,Removed typeclass [TopologicalSpace α]
isGLB_iff_of_subset_of_subset_closure,Mathlib.Topology.Order.IsLUB," {α : Type*} [TopologicalSpace α] [Preorder α] [ClosedIciTopology α] {s t : Set α} (hst : s ⊆ t) (hts : t ⊆ closure s)
  {x : α} : IsGLB s x ↔ IsGLB t x","Let $\alpha$ be a topological space with a preorder and the closed upper interval topology. For any subsets $s, t \subseteq \alpha$ such that $s \subseteq t$ and $t \subseteq \overline{s}$ (the closure of $s$), and for any $x \in \alpha$, the following are equivalent:
1. $x$ is the greatest lower bound of $s$,
2. $x$ is the greatest lower bound of $t$."," {α : Type*} [TopologicalSpace α] [LinearOrder α] [ClosedIciTopology α] {s t : Set α} (hst : s ⊆ t) (hts : t ⊆ closure s)
  {x : α} : IsGLB s x ↔ IsGLB t x",specialization,Specialized: Preorder → LinearOrder
Finset.inf_erase_top,Mathlib.Data.Finset.Lattice.Fold, [DecidableEq α] (s : Finset α) : (s.erase ⊤).inf id = s.inf id,"Let $\alpha$ be a meet-semilattice with a top element $\top$ and decidable equality. For any finite set $s \subseteq \alpha$, the infimum of $s$ with $\top$ removed is equal to the infimum of $s$, i.e.,
\[ \inf (s \setminus \{\top\}) = \inf s. \]", [DecidableEq α] (s : Finset α) : (s.erase ⊤).inf id ≠ s.inf id,negation,Changed = to ≠
Finset.inf_erase_top,Mathlib.Data.Finset.Lattice.Fold, [DecidableEq α] (s : Finset α) : (s.erase ⊤).inf id = s.inf id,"Let $\alpha$ be a meet-semilattice with a top element $\top$ and decidable equality. For any finite set $s \subseteq \alpha$, the infimum of $s$ with $\top$ removed is equal to the infimum of $s$, i.e.,
\[ \inf (s \setminus \{\top\}) = \inf s. \]", (s : Finset α) : (s.erase ⊤).inf id = s.inf id,generalization,Removed typeclass [DecidableEq α]
Zsqrtd.sqrtd_im,Mathlib.NumberTheory.Zsqrtd.Basic, : (sqrtd : ℤ√d).im = 1,"The imaginary part of the canonical square root $\sqrt{d}$ in the ring $\mathbb{Z}[\sqrt{d}]$ is equal to $1$, i.e., if $\sqrt{d} = a + b\sqrt{d}$ where $a, b \in \mathbb{Z}$, then $b = 1$.", : (sqrtd : ℤ√d).im ≠ 1,negation,Changed = to ≠
Zsqrtd.sqrtd_im,Mathlib.NumberTheory.Zsqrtd.Basic, : (sqrtd : ℤ√d).im = 1,"The imaginary part of the canonical square root $\sqrt{d}$ in the ring $\mathbb{Z}[\sqrt{d}]$ is equal to $1$, i.e., if $\sqrt{d} = a + b\sqrt{d}$ where $a, b \in \mathbb{Z}$, then $b = 1$.", :.im = 1,generalization,Removed hypothesis (sqrtd : ℤ√d)
Nat.factorizationLCMLeft_dvd_left,Mathlib.Data.Nat.Factorization.Basic, : factorizationLCMLeft a b ∣ a,"For any natural numbers $a$ and $b$, the left LCM factorization component $\text{factorizationLCMLeft}(a, b)$ divides $a$.", : ¬(factorizationLCMLeft a b ∣ a),negation,Negated conclusion with ¬
List.prefix_cons_inj,Init.Data.List.Sublist, (a) : a :: l₁ <+: a :: l₂ ↔ l₁ <+: l₂,"For any element $a$ of type $\alpha$ and any two lists $l_1$ and $l_2$ of elements of type $\alpha$, the list $a :: l_1$ is a prefix of $a :: l_2$ if and only if $l_1$ is a prefix of $l_2$.", (a) : a :: l₁ <+: a :: l₂ ↔ l₁ <+: ¬(l₂),negation,Negated conclusion with ¬
iInf_sigma,Mathlib.Order.CompleteLattice.Basic," {p : β → Type*} {f : Sigma p → α} : ⨅ x, f x = ⨅ (i) (j), f ⟨i, j⟩","For any indexed family of types $p : \beta \to \text{Type}$ and any function $f : \Sigma p \to \alpha$ (where $\Sigma p$ is the dependent sum type), the infimum of $f$ over all pairs $(i, j)$ is equal to the infimum of $f$ over all elements of $\Sigma p$. In other words,
\[ \bigsqcap_{x \in \Sigma p} f(x) = \bigsqcap_{i \in \beta} \bigsqcap_{j \in p(i)} f(\langle i, j \rangle). \]"," {p : β → Type*} {f : Sigma p → α} : ⨅ x, f x ≠ ⨅ (i) (j), f ⟨i, j⟩",negation,Changed = to ≠
Bornology.isVonNBounded_sUnion,Mathlib.Analysis.LocallyConvex.Bounded," {S : Set (Set E)} (hS : S.Finite) : IsVonNBounded 𝕜 (⋃₀ S) ↔ ∀ s ∈ S, IsVonNBounded 𝕜 s","Let $E$ be a topological vector space over a field $\mathbb{K}$, and let $S$ be a finite collection of subsets of $E$. The union $\bigcup S$ is von Neumann bounded if and only if every set $s \in S$ is von Neumann bounded."," {S : Set (Set E)} (hS : S.Finite) : ¬(IsVonNBounded 𝕜 (⋃₀ S) ↔ ∀ s ∈ S, IsVonNBounded 𝕜 s)",negation,Negated conclusion with ¬
Bornology.isVonNBounded_sUnion,Mathlib.Analysis.LocallyConvex.Bounded," {S : Set (Set E)} (hS : S.Finite) : IsVonNBounded 𝕜 (⋃₀ S) ↔ ∀ s ∈ S, IsVonNBounded 𝕜 s","Let $E$ be a topological vector space over a field $\mathbb{K}$, and let $S$ be a finite collection of subsets of $E$. The union $\bigcup S$ is von Neumann bounded if and only if every set $s \in S$ is von Neumann bounded."," {S : Set (Set E)} (hS : S.Countable) : IsVonNBounded 𝕜 (⋃₀ S) ↔ ∀ s ∈ S, IsVonNBounded 𝕜 s",generalization,Generalized: Finite → Countable
CategoryTheory.Limits.Pi.map'_id_id,Mathlib.CategoryTheory.Limits.Shapes.Products, {f : α → C} [HasProduct f] : Pi.map' id (fun a => 𝟙 (f a)) = 𝟙 (∏ᶜ f),"For any family of objects $\{f(a)\}_{a \in \alpha}$ in a category $\mathcal{C}$ that has products indexed by $\alpha$, the morphism $\prod_{a \in \alpha} f(a) \to \prod_{a \in \alpha} f(a)$ induced by the identity reindexing function and the identity morphisms on each $f(a)$ is equal to the identity morphism on $\prod_{a \in \alpha} f(a)$.", {f : α → C} [HasProduct f] : Pi.map' id (fun a => 𝟙 (f a)) ≠ 𝟙 (∏ᶜ f),negation,Changed = to ≠
CategoryTheory.Limits.Pi.map'_id_id,Mathlib.CategoryTheory.Limits.Shapes.Products, {f : α → C} [HasProduct f] : Pi.map' id (fun a => 𝟙 (f a)) = 𝟙 (∏ᶜ f),"For any family of objects $\{f(a)\}_{a \in \alpha}$ in a category $\mathcal{C}$ that has products indexed by $\alpha$, the morphism $\prod_{a \in \alpha} f(a) \to \prod_{a \in \alpha} f(a)$ induced by the identity reindexing function and the identity morphisms on each $f(a)$ is equal to the identity morphism on $\prod_{a \in \alpha} f(a)$.", {f : α → C} : Pi.map' id (fun a => 𝟙 (f a)) = 𝟙 (∏ᶜ f),generalization,Removed typeclass [HasProduct f]
CategoryTheory.Limits.Pi.map'_id_id,Mathlib.CategoryTheory.Limits.Shapes.Products, {f : α → C} [HasProduct f] : Pi.map' id (fun a => 𝟙 (f a)) = 𝟙 (∏ᶜ f),"For any family of objects $\{f(a)\}_{a \in \alpha}$ in a category $\mathcal{C}$ that has products indexed by $\alpha$, the morphism $\prod_{a \in \alpha} f(a) \to \prod_{a \in \alpha} f(a)$ induced by the identity reindexing function and the identity morphisms on each $f(a)$ is equal to the identity morphism on $\prod_{a \in \alpha} f(a)$.", {f : α → C} [HasProduct f] : Pi.map' id (fun a => 2 (f a)) = 𝟙 (∏ᶜ f),bound_perturbation,Bound perturbation: > n → > n+1
NonUnitalSubsemiring.sumSq_toAddSubmonoid,Mathlib.Algebra.Ring.SumsOfSquares, : (sumSq T).toAddSubmonoid = .sumSq T,The additive submonoid associated with the non-unital subsemiring of sums of squares in $T$ is equal to the additive submonoid of sums of squares in $T$., : (sumSq T).toAddSubmonoid ≠ .sumSq T,negation,Changed = to ≠
Vector.getElem?_zipWith_eq_some,Init.Data.Vector.Zip," {f : α → β → γ} {as : Vector α n} {bs : Vector β n} {z : γ} {i : Nat} :
  (zipWith f as bs)[i]? = some z ↔ ∃ x y, as[i]? = some x ∧ bs[i]? = some y ∧ f x y = z","For any function $f : \alpha \to \beta \to \gamma$, vectors $\text{as} : \text{Vector}\,\alpha\,n$ and $\text{bs} : \text{Vector}\,\beta\,n$, element $z : \gamma$, and index $i : \mathbb{N}$, the following equivalence holds:
$$(\text{zipWith}\,f\,\text{as}\,\text{bs})[i]? = \text{some}\,z \leftrightarrow \exists x\,y, \text{as}[i]? = \text{some}\,x \land \text{bs}[i]? = \text{some}\,y \land f\,x\,y = z.$$"," {f : α → β → γ} {as : Vector α n} {bs : Vector β n} {z : γ} {i : Nat} : (zipWith f as bs)[i]? ≠ some z ↔ ∃ x y, as[i]? = some x ∧ bs[i]? = some y ∧ f x y = z",negation,Changed = to ≠
Vector.getElem?_zipWith_eq_some,Init.Data.Vector.Zip," {f : α → β → γ} {as : Vector α n} {bs : Vector β n} {z : γ} {i : Nat} :
  (zipWith f as bs)[i]? = some z ↔ ∃ x y, as[i]? = some x ∧ bs[i]? = some y ∧ f x y = z","For any function $f : \alpha \to \beta \to \gamma$, vectors $\text{as} : \text{Vector}\,\alpha\,n$ and $\text{bs} : \text{Vector}\,\beta\,n$, element $z : \gamma$, and index $i : \mathbb{N}$, the following equivalence holds:
$$(\text{zipWith}\,f\,\text{as}\,\text{bs})[i]? = \text{some}\,z \leftrightarrow \exists x\,y, \text{as}[i]? = \text{some}\,x \land \text{bs}[i]? = \text{some}\,y \land f\,x\,y = z.$$"," {f : α → β → γ} {as : Vector α n} {bs : Vector β n} {z : γ} {i : Nat} :
  (zipWith f as bs)? = some z ↔ ∃ x y, as[i]? = some x ∧ bs[i]? = some y ∧ f x y = z",generalization,Removed typeclass [i]
BitVec.msb_rotateRight,Init.Data.BitVec.Lemmas, {r w : Nat} {x : BitVec w} : (x.rotateRight r).msb = x.getMsbD ((w - r % w) % w),"For a bitvector $x$ of width $w$ and a natural number $r$, the most significant bit (msb) of the right-rotated bitvector $x.\text{rotateRight}(r)$ is equal to the most significant bit of $x$ at index $(w - r \bmod w) \bmod w$.", {r w : Nat} {x : BitVec w} : (x.rotateRight r).msb ≠ x.getMsbD ((w - r % w) % w),negation,Changed = to ≠
Equiv.optionCongr_eq_equivFunctor_mapEquiv,Mathlib.Logic.Equiv.Option, {α β : Type u} (e : α ≃ β) : optionCongr e = EquivFunctor.mapEquiv Option e,"For any types $\alpha$ and $\beta$ in the same universe and any equivalence $e : \alpha \simeq \beta$, the equivalence $\text{optionCongr } e$ between $\text{Option } \alpha$ and $\text{Option } \beta$ is equal to the result of applying the functorial map of $\text{Option}$ to $e$, i.e., $\text{optionCongr } e = \text{EquivFunctor.mapEquiv Option } e$.", {α β : Type u} (e : α ≃ β) : optionCongr e ≠ EquivFunctor.mapEquiv Option e,negation,Changed = to ≠
Equiv.optionCongr_eq_equivFunctor_mapEquiv,Mathlib.Logic.Equiv.Option, {α β : Type u} (e : α ≃ β) : optionCongr e = EquivFunctor.mapEquiv Option e,"For any types $\alpha$ and $\beta$ in the same universe and any equivalence $e : \alpha \simeq \beta$, the equivalence $\text{optionCongr } e$ between $\text{Option } \alpha$ and $\text{Option } \beta$ is equal to the result of applying the functorial map of $\text{Option}$ to $e$, i.e., $\text{optionCongr } e = \text{EquivFunctor.mapEquiv Option } e$.", {α β : Type u} : optionCongr e = EquivFunctor.mapEquiv Option e,generalization,Removed hypothesis (e : α ≃ β)
Bool.or_left_comm,Init.Data.Bool," : ∀ (x y z : Bool), (x || (y || z)) = (y || (x || z))","For any boolean values $x$, $y$, and $z$, the following equality holds:
$$x \lor (y \lor z) = y \lor (x \lor z)$$
where $\lor$ denotes the logical OR operation."," : ∀ (x y z : Bool), (x || (y || z)) ≠ (y || (x || z))",negation,Changed = to ≠
Set.insert_none_range_some,Mathlib.Data.Set.Image, (α : Type*) : insert none (range (some : α → Option α)) = univ,"For any type $\alpha$, the union of the singleton set containing `none` and the range of the `some` function (which maps elements of $\alpha$ to `Option α`) equals the universal set of `Option α$. That is, $\{\text{none}\} \cup \text{range}(\text{some}) = \text{univ}$.", (α : Type*) : ¬(insert none (range (some : α → Option α)) = univ),negation,Negated conclusion with ¬
Finset.truncatedInf_singleton,Mathlib.Combinatorics.SetFamily.AhlswedeZhang, (b a : α) : truncatedInf { b } a = if b ≤ a then b else ⊥,"For any elements $b$ and $a$ in a partially ordered set $\alpha$ with a least element $\bot$, the truncated infimum of the singleton set $\{b\}$ at $a$ is equal to $b$ if $b \leq a$, and $\bot$ otherwise. That is:
\[ \text{truncatedInf}\ \{b\}\ a = \begin{cases} 
b & \text{if } b \leq a, \\
\bot & \text{otherwise.}
\end{cases} \]", (b a : α) : truncatedInf { b } a ≠ if b ≤ a then b else ⊥,negation,Changed = to ≠
CFC.spectrum_zero_eq,Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Unital, [Nontrivial A] : spectrum R (0 : A) = {0},"In a nontrivial topological algebra $A$ over a commutative semiring $R$ with a continuous functional calculus, the spectrum of the zero element $0 \in A$ is equal to the singleton set $\{0\}$.", [Nontrivial A] : spectrum R (0 : A) ≠ {0},negation,Changed = to ≠
CFC.spectrum_zero_eq,Mathlib.Analysis.CStarAlgebra.ContinuousFunctionalCalculus.Unital, [Nontrivial A] : spectrum R (0 : A) = {0},"In a nontrivial topological algebra $A$ over a commutative semiring $R$ with a continuous functional calculus, the spectrum of the zero element $0 \in A$ is equal to the singleton set $\{0\}$.", : spectrum R (0 : A) = {0},generalization,Removed typeclass [Nontrivial A]
MeasureTheory.norm_setToFun_le_mul_norm,Mathlib.MeasureTheory.Integral.SetToL1, (hT : DominatedFinMeasAdditive μ T C) (f : α →₁[μ] E) (hC : 0 ≤ C) : ‖setToFun μ T hT f‖ ≤ C * ‖f‖,"Let $(α, μ)$ be a measure space, $E$ and $F$ be normed spaces over $\mathbb{R}$, and $T \colon \mathcal{P}(α) \to E \toL[\mathbb{R}] F$ be a dominated finitely measure-additive function with constant $C \geq 0$. For any integrable function $f \in L^1(μ, E)$, the norm of the extension $\text{setToFun}_μ T hT f$ is bounded by $C$ times the $L^1$-norm of $f$, i.e.,
\[ \|\text{setToFun}_μ T hT f\|_F \leq C \|f\|_{L^1}. \]", (hT : DominatedFinMeasAdditive μ T C) (f : α →₁[μ] E) (hC : 0 ≤ C) : ¬(‖setToFun μ T hT f‖ ≤ C * ‖f‖),negation,Negated conclusion with ¬
MeasureTheory.norm_setToFun_le_mul_norm,Mathlib.MeasureTheory.Integral.SetToL1, (hT : DominatedFinMeasAdditive μ T C) (f : α →₁[μ] E) (hC : 0 ≤ C) : ‖setToFun μ T hT f‖ ≤ C * ‖f‖,"Let $(α, μ)$ be a measure space, $E$ and $F$ be normed spaces over $\mathbb{R}$, and $T \colon \mathcal{P}(α) \to E \toL[\mathbb{R}] F$ be a dominated finitely measure-additive function with constant $C \geq 0$. For any integrable function $f \in L^1(μ, E)$, the norm of the extension $\text{setToFun}_μ T hT f$ is bounded by $C$ times the $L^1$-norm of $f$, i.e.,
\[ \|\text{setToFun}_μ T hT f\|_F \leq C \|f\|_{L^1}. \]", (hT : DominatedFinMeasAdditive μ T C) (f : α →₁ E) (hC : 0 ≤ C) : ‖setToFun μ T hT f‖ ≤ C * ‖f‖,generalization,Removed typeclass [μ]
Nat.cast_lt_ofNat,Mathlib.Data.Nat.Cast.Order.Basic, : (m : α) < (ofNat(n) : α) ↔ m < OfNat.ofNat n,"For any natural numbers $m$ and $n$, and any type $\alpha$ with a characteristic zero monoid structure, the canonical embedding of $m$ into $\alpha$ is less than the embedding of the literal $n$ (as an element of $\alpha$) if and only if $m$ is less than $n$ in the natural numbers. In other words, $(m : \alpha) < (n : \alpha) \leftrightarrow m < n$.", : ¬((m : α) < (ofNat(n) : α) ↔ m < OfNat.ofNat n),negation,Negated conclusion with ¬
Nat.cast_lt_ofNat,Mathlib.Data.Nat.Cast.Order.Basic, : (m : α) < (ofNat(n) : α) ↔ m < OfNat.ofNat n,"For any natural numbers $m$ and $n$, and any type $\alpha$ with a characteristic zero monoid structure, the canonical embedding of $m$ into $\alpha$ is less than the embedding of the literal $n$ (as an element of $\alpha$) if and only if $m$ is less than $n$ in the natural numbers. In other words, $(m : \alpha) < (n : \alpha) \leftrightarrow m < n$.", : < (ofNat(n) : α) ↔ m < OfNat.ofNat n,generalization,Removed hypothesis (m : α)
IsHomeomorph.injective,Mathlib.Topology.Homeomorph.Defs, (hf : IsHomeomorph f) : Function.Injective f,"If a function $f : X \to Y$ between topological spaces is a homeomorphism, then $f$ is injective.", (hf : IsHomeomorph f) : ¬(Function.Injective f),negation,Negated conclusion with ¬
IsHomeomorph.injective,Mathlib.Topology.Homeomorph.Defs, (hf : IsHomeomorph f) : Function.Injective f,"If a function $f : X \to Y$ between topological spaces is a homeomorphism, then $f$ is injective.", : Function.Injective f,generalization,Removed hypothesis (hf : IsHomeomorph f)
Fin.foldr_loop_succ,Init.Data.Fin.Fold," (f : Fin n → α → α) (x) (h : i < n) : foldr.loop n f (i + 1) h x = foldr.loop n f i (Nat.le_of_lt h) (f ⟨i, h⟩ x)","For any function $f : \text{Fin}\ n \to \alpha \to \alpha$, initial value $x : \alpha$, and index $i$ with proof $h : i < n$, the right-fold loop satisfies the recursive relation:
\[ \text{foldr.loop}\ n\ f\ (i + 1)\ h\ x = \text{foldr.loop}\ n\ f\ i\ (\text{Nat.le\_of\_lt}\ h)\ (f\ \langle i, h \rangle\ x) \]"," (f : Fin n → α → α) (x) (h : i < n) : foldr.loop n f (i + 1) h x ≠ foldr.loop n f i (Nat.le_of_lt h) (f ⟨i, h⟩ x)",negation,Changed = to ≠
Fin.foldr_loop_succ,Init.Data.Fin.Fold," (f : Fin n → α → α) (x) (h : i < n) : foldr.loop n f (i + 1) h x = foldr.loop n f i (Nat.le_of_lt h) (f ⟨i, h⟩ x)","For any function $f : \text{Fin}\ n \to \alpha \to \alpha$, initial value $x : \alpha$, and index $i$ with proof $h : i < n$, the right-fold loop satisfies the recursive relation:
\[ \text{foldr.loop}\ n\ f\ (i + 1)\ h\ x = \text{foldr.loop}\ n\ f\ i\ (\text{Nat.le\_of\_lt}\ h)\ (f\ \langle i, h \rangle\ x) \]"," (x) (h : i < n) : foldr.loop n f (i + 1) h x = foldr.loop n f i (Nat.le_of_lt h) (f ⟨i, h⟩ x)",generalization,Removed hypothesis (f : Fin n → α → α)
Set.Ioc_union_Ioc_union_Ioc_cycle,Mathlib.Order.Interval.Set.LinearOrder, : Ioc a b ∪ Ioc b c ∪ Ioc c a = Ioc (min a (min b c)) (max a (max b c)),"For any elements $a$, $b$, and $c$ in a linearly ordered set, the union of the open-closed intervals $(a, b]$, $(b, c]$, and $(c, a]$ is equal to the open-closed interval $(\min(a, b, c), \max(a, b, c)]$.", : Ioc a b ∪ Ioc b c ∪ Ioc c a ≠ Ioc (min a (min b c)) (max a (max b c)),negation,Changed = to ≠
Rat.inv_intCast_num,Mathlib.Data.Rat.Lemmas, (a : ℤ) : (a : ℚ)⁻¹.num = Int.sign a,"For any integer $a$, the numerator of the inverse of the rational number obtained by casting $a$ to $\mathbb{Q}$ is equal to the sign of $a$, i.e., $\text{num}\left(\frac{1}{a}\right) = \text{sign}(a)$.", (a : ℤ) : (a : ℚ)⁻¹.num ≠ Int.sign a,negation,Changed = to ≠
Rat.inv_intCast_num,Mathlib.Data.Rat.Lemmas, (a : ℤ) : (a : ℚ)⁻¹.num = Int.sign a,"For any integer $a$, the numerator of the inverse of the rational number obtained by casting $a$ to $\mathbb{Q}$ is equal to the sign of $a$, i.e., $\text{num}\left(\frac{1}{a}\right) = \text{sign}(a)$.", : (a : ℚ)⁻¹.num = Int.sign a,generalization,Removed hypothesis (a : ℤ)
CategoryTheory.IsIso.comp_isIso',Mathlib.CategoryTheory.Iso, (_ : IsIso f) (_ : IsIso h) : IsIso (f ≫ h),"Given two morphisms $f$ and $h$ in a category $\mathcal{C}$, if both $f$ and $h$ are isomorphisms, then their composition $f \circ h$ is also an isomorphism.", (_ : IsIso f) (_ : IsIso h) : ¬(IsIso (f ≫ h)),negation,Negated conclusion with ¬
CategoryTheory.IsIso.comp_isIso',Mathlib.CategoryTheory.Iso, (_ : IsIso f) (_ : IsIso h) : IsIso (f ≫ h),"Given two morphisms $f$ and $h$ in a category $\mathcal{C}$, if both $f$ and $h$ are isomorphisms, then their composition $f \circ h$ is also an isomorphism.", (_ : IsIso h) : IsIso (f ≫ h),generalization,Removed hypothesis (_ : IsIso f)
DFinsupp.add_closure_iUnion_range_single,Mathlib.Data.DFinsupp.Ext," : AddSubmonoid.closure (⋃ i : ι, Set.range (single i : β i → Π₀ i, β i)) = ⊤","The additive submonoid generated by the union of the ranges of the single functions `single i : β i → Π₀ i, β i` for all indices `i` is equal to the entire space of dependent functions with finite support. 

In other words, every function in `Π₀ i, β i` can be expressed as a finite sum of single functions `single i b` for various indices `i` and elements `b ∈ β i`."," : ¬(AddSubmonoid.closure (⋃ i : ι, Set.range (single i : β i → Π₀ i, β i)) = ⊤)",negation,Negated conclusion with ¬
Finset.map_toFinset,Mathlib.Data.Finset.Image, [DecidableEq α] [DecidableEq β] {s : Multiset α} : s.toFinset.map f = (s.map f).toFinset,"For any multiset $s$ of elements of type $\alpha$ with decidable equality on both $\alpha$ and $\beta$, the image of the finite set constructed from $s$ under an injective embedding $f : \alpha \hookrightarrow \beta$ is equal to the finite set constructed from the multiset image of $s$ under $f$. In other words, $(s.\text{toFinset}).\text{map} f = (s.\text{map} f).\text{toFinset}$.", [DecidableEq α] [DecidableEq β] {s : Multiset α} : s.toFinset.map f ≠ (s.map f).toFinset,negation,Changed = to ≠
Finset.map_toFinset,Mathlib.Data.Finset.Image, [DecidableEq α] [DecidableEq β] {s : Multiset α} : s.toFinset.map f = (s.map f).toFinset,"For any multiset $s$ of elements of type $\alpha$ with decidable equality on both $\alpha$ and $\beta$, the image of the finite set constructed from $s$ under an injective embedding $f : \alpha \hookrightarrow \beta$ is equal to the finite set constructed from the multiset image of $s$ under $f$. In other words, $(s.\text{toFinset}).\text{map} f = (s.\text{map} f).\text{toFinset}$.", [DecidableEq β] {s : Multiset α} : s.toFinset.map f = (s.map f).toFinset,generalization,Removed typeclass [DecidableEq α]
Monoid.CoprodI.lift_word_prod_nontrivial_of_other_i,Mathlib.GroupTheory.CoprodI, {i j k} (w : NeWord H i j) (hhead : k ≠ i) (hlast : k ≠ j) : lift f w.prod ≠ 1,"For any non-empty reduced word $w$ in the free product of groups $H$ with first letter from $H_i$ and last letter from $H_j$, and for any index $k$ distinct from both $i$ and $j$, the product of the word under the lifted homomorphism $\operatorname{lift}(f)(w.\text{prod})$ is not equal to the identity element of the target group, i.e., $\operatorname{lift}(f)(w.\text{prod}) \neq 1$.", {i j k} (w : NeWord H i j) (hhead : k ≠ i) (hlast : k ≠ j) : lift f w.prod = 1,negation,Changed ≠ to =
Monoid.CoprodI.lift_word_prod_nontrivial_of_other_i,Mathlib.GroupTheory.CoprodI, {i j k} (w : NeWord H i j) (hhead : k ≠ i) (hlast : k ≠ j) : lift f w.prod ≠ 1,"For any non-empty reduced word $w$ in the free product of groups $H$ with first letter from $H_i$ and last letter from $H_j$, and for any index $k$ distinct from both $i$ and $j$, the product of the word under the lifted homomorphism $\operatorname{lift}(f)(w.\text{prod})$ is not equal to the identity element of the target group, i.e., $\operatorname{lift}(f)(w.\text{prod}) \neq 1$.", {i j k} (hhead : k ≠ i) (hlast : k ≠ j) : lift f w.prod ≠ 1,generalization,Removed hypothesis (w : NeWord H i j)
Real.tendsto_cos_pi_div_two,Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic, : Tendsto cos (𝓝[<] (π / 2)) (𝓝[>] 0),"The cosine function tends to $0$ from the right as $x$ approaches $\pi/2$ from the left, i.e., $\lim_{x \to (\pi/2)^-} \cos(x) = 0^+$.", : ¬(Tendsto cos (𝓝[<] (π / 2)) (𝓝[>] 0)),negation,Negated conclusion with ¬
Real.tendsto_cos_pi_div_two,Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic, : Tendsto cos (𝓝[<] (π / 2)) (𝓝[>] 0),"The cosine function tends to $0$ from the right as $x$ approaches $\pi/2$ from the left, i.e., $\lim_{x \to (\pi/2)^-} \cos(x) = 0^+$.", : Tendsto cos (𝓝 (π / 2)) (𝓝[>] 0),generalization,Removed typeclass [<]
CategoryTheory.rightDistributor_ext₂_right,Mathlib.CategoryTheory.Monoidal.Preadditive," {J : Type} [Finite J] {f : J → C} {X Y Z : C} {g h : X ⟶ ((⨁ f) ⊗ Y) ⊗ Z}
  (w : ∀ j, g ≫ ((biproduct.π f j ▷ Y) ▷ Z) = h ≫ ((biproduct.π f j ▷ Y) ▷ Z)) : g = h","Let $\mathcal{C}$ be a monoidal preadditive category with finite biproducts. For any finite index set $J$, any family of objects $(f_j)_{j \in J}$ in $\mathcal{C}$, and any objects $X, Y, Z$ in $\mathcal{C}$, if two morphisms $g, h : X \to ((\bigoplus_{j \in J} f_j) \otimes Y) \otimes Z$ satisfy $g \circ ((\pi_j \otimes \text{id}_Y) \otimes \text{id}_Z) = h \circ ((\pi_j \otimes \text{id}_Y) \otimes \text{id}_Z)$ for all $j \in J$, where $\pi_j$ is the $j$-th projection from the biproduct $\bigoplus_{j \in J} f_j$, then $g = h$."," {J : Type} [Finite J] {f : J → C} {X Y Z : C} {g h : X ⟶ ((⨁ f) ⊗ Y) ⊗ Z}
  (w : ∀ j, g ≫ ((biproduct.π f j ▷ Y) ▷ Z) = h ≫ ((biproduct.π f j ▷ Y) ▷ Z)) : g ≠ h",negation,Changed = to ≠
CategoryTheory.rightDistributor_ext₂_right,Mathlib.CategoryTheory.Monoidal.Preadditive," {J : Type} [Finite J] {f : J → C} {X Y Z : C} {g h : X ⟶ ((⨁ f) ⊗ Y) ⊗ Z}
  (w : ∀ j, g ≫ ((biproduct.π f j ▷ Y) ▷ Z) = h ≫ ((biproduct.π f j ▷ Y) ▷ Z)) : g = h","Let $\mathcal{C}$ be a monoidal preadditive category with finite biproducts. For any finite index set $J$, any family of objects $(f_j)_{j \in J}$ in $\mathcal{C}$, and any objects $X, Y, Z$ in $\mathcal{C}$, if two morphisms $g, h : X \to ((\bigoplus_{j \in J} f_j) \otimes Y) \otimes Z$ satisfy $g \circ ((\pi_j \otimes \text{id}_Y) \otimes \text{id}_Z) = h \circ ((\pi_j \otimes \text{id}_Y) \otimes \text{id}_Z)$ for all $j \in J$, where $\pi_j$ is the $j$-th projection from the biproduct $\bigoplus_{j \in J} f_j$, then $g = h$."," {J : Type} [Countable J] {f : J → C} {X Y Z : C} {g h : X ⟶ ((⨁ f) ⊗ Y) ⊗ Z}
  (w : ∀ j, g ≫ ((biproduct.π f j ▷ Y) ▷ Z) = h ≫ ((biproduct.π f j ▷ Y) ▷ Z)) : g = h",generalization,Generalized: Finite → Countable
